,path,emotion
0,data/train-custom\01_01_01_01_dogs-sitting_sad.wav,sad
1,data/train-custom\01_01_01_01_kids-talking_sad.wav,sad
2,data/train-custom\01_01_01_02_dogs-sitting_sad.wav,sad
3,data/train-custom\01_01_01_02_kids-talking_sad.wav,sad
4,data/train-custom\01_01_02_01_dogs-sitting_sad.wav,sad
5,data/train-custom\01_01_02_01_kids-talking_sad.wav,sad
6,data/train-custom\01_01_02_02_dogs-sitting_sad.wav,sad
7,data/train-custom\01_01_02_02_kids-talking_sad.wav,sad
8,data/train-custom\01_02_01_01_dogs-sitting_sad.wav,sad
9,data/train-custom\01_02_01_01_kids-talking_sad.wav,sad
10,data/train-custom\01_02_01_02_dogs-sitting_sad.wav,sad
11,data/train-custom\01_02_01_02_kids-talking_sad.wav,sad
12,data/train-custom\01_02_02_01_dogs-sitting_sad.wav,sad
13,data/train-custom\01_02_02_01_kids-talking_sad.wav,sad
14,data/train-custom\01_02_02_02_dogs-sitting_sad.wav,sad
15,data/train-custom\01_02_02_02_kids-talking_sad.wav,sad
16,data/train-custom\02_01_01_01_dogs-sitting_sad.wav,sad
17,data/train-custom\02_01_01_01_kids-talking_sad.wav,sad
18,data/train-custom\02_01_01_02_dogs-sitting_sad.wav,sad
19,data/train-custom\02_01_01_02_kids-talking_sad.wav,sad
20,data/train-custom\02_01_02_01_dogs-sitting_sad.wav,sad
21,data/train-custom\02_01_02_01_kids-talking_sad.wav,sad
22,data/train-custom\02_01_02_02_dogs-sitting_sad.wav,sad
23,data/train-custom\02_01_02_02_kids-talking_sad.wav,sad
24,data/train-custom\02_02_01_01_dogs-sitting_sad.wav,sad
25,data/train-custom\02_02_01_01_kids-talking_sad.wav,sad
26,data/train-custom\02_02_01_02_dogs-sitting_sad.wav,sad
27,data/train-custom\02_02_01_02_kids-talking_sad.wav,sad
28,data/train-custom\02_02_02_01_dogs-sitting_sad.wav,sad
29,data/train-custom\02_02_02_01_kids-talking_sad.wav,sad
30,data/train-custom\02_02_02_02_dogs-sitting_sad.wav,sad
31,data/train-custom\02_02_02_02_kids-talking_sad.wav,sad
32,data/train-custom\03-02-04-01-01-01-01_sad.wav,sad
33,data/train-custom\03-02-04-01-01-01-02_sad.wav,sad
34,data/train-custom\03-02-04-01-01-01-03_sad.wav,sad
35,data/train-custom\03-02-04-01-01-01-04_sad.wav,sad
36,data/train-custom\03-02-04-01-01-01-05_sad.wav,sad
37,data/train-custom\03-02-04-01-01-01-06_sad.wav,sad
38,data/train-custom\03-02-04-01-01-01-11_sad.wav,sad
39,data/train-custom\03-02-04-01-01-01-12_sad.wav,sad
40,data/train-custom\03-02-04-01-01-01-13_sad.wav,sad
41,data/train-custom\03-02-04-01-01-01-14_sad.wav,sad
42,data/train-custom\03-02-04-01-01-01-15_sad.wav,sad
43,data/train-custom\03-02-04-01-01-01-16_sad.wav,sad
44,data/train-custom\03-02-04-01-01-01-19_sad.wav,sad
45,data/train-custom\03-02-04-01-01-01-20_sad.wav,sad
46,data/train-custom\03-02-04-01-01-01-21_sad.wav,sad
47,data/train-custom\03-02-04-01-01-01-22_sad.wav,sad
48,data/train-custom\03-02-04-01-01-01-23_sad.wav,sad
49,data/train-custom\03-02-04-01-01-01-24_sad.wav,sad
50,data/train-custom\03-02-04-01-01-02-01_sad.wav,sad
51,data/train-custom\03-02-04-01-01-02-02_sad.wav,sad
52,data/train-custom\03-02-04-01-01-02-03_sad.wav,sad
53,data/train-custom\03-02-04-01-01-02-04_sad.wav,sad
54,data/train-custom\03-02-04-01-01-02-05_sad.wav,sad
55,data/train-custom\03-02-04-01-01-02-06_sad.wav,sad
56,data/train-custom\03-02-04-01-01-02-11_sad.wav,sad
57,data/train-custom\03-02-04-01-01-02-12_sad.wav,sad
58,data/train-custom\03-02-04-01-01-02-13_sad.wav,sad
59,data/train-custom\03-02-04-01-01-02-14_sad.wav,sad
60,data/train-custom\03-02-04-01-01-02-15_sad.wav,sad
61,data/train-custom\03-02-04-01-01-02-16_sad.wav,sad
62,data/train-custom\03-02-04-01-01-02-19_sad.wav,sad
63,data/train-custom\03-02-04-01-01-02-20_sad.wav,sad
64,data/train-custom\03-02-04-01-01-02-21_sad.wav,sad
65,data/train-custom\03-02-04-01-01-02-22_sad.wav,sad
66,data/train-custom\03-02-04-01-01-02-23_sad.wav,sad
